shirota,dolgota,elevation,slope_percent,current_speed,current_fuel_consumption,smart_optimal_speed,smart_optimal_fuel_consumption,fuel_saving,energy_saving
55.706990,37.566250,163.0,1.76,33,9.4,62.4,8.9,0.6,-85.7
55.706840,37.565100,163.0,0.00,36,9.2,63,8.7,0.5,-81.7
55.706800,37.564880,163.0,0.00,14,11.0,63,8.7,2.3,-115.3
55.706670,37.563880,166.0,4.67,20,11.3,58.0,9.8,1.5,-90.6
55.706590,37.563320,166.0,0.00,20,10.4,63,8.7,1.8,-109.1
55.706510,37.562760,166.0,0.00,0,12.5,63,8.7,3.8,-121.3
55.706390,37.561980,168.0,3.95,45,9.4,59.1,9.5,-0.1,-44.8
55.706190,37.560500,166.0,-2.10,48,9.2,64.1,8.9,0.2,-60.7
55.706160,37.560220,169.0,16.80,52,17.5,59.099999999999994,17.4,0.0,0.0
55.706160,37.560120,169.0,0.00,55,8.8,64.1,8.7,0.0,-36.7
55.706160,37.559900,169.0,0.00,52,8.8,65,8.7,0.1,-46.5
55.706170,37.559560,169.0,0.00,48,8.8,63,8.7,0.1,-50.9
55.706250,37.557790,168.0,-0.90,49,8.9,63,8.8,0.0,-47.9
55.706280,37.556810,168.0,0.00,51,8.8,65,8.7,0.1,-49.6
55.706340,37.555500,164.0,-4.86,46,10.1,68.8,10.0,0.2,-80.0
55.706380,37.554650,164.0,0.00,47,8.8,63.8,8.8,0.1,-53.8
55.706390,37.554430,164.0,0.00,42,8.9,63,8.8,0.2,-67.4
55.706410,37.554150,176.0,67.86,20,56.8,58,56.0,0.8,-64.2
55.706430,37.553710,176.0,0.00,20,10.6,63,8.8,1.8,-109.1
55.706450,37.553470,176.0,0.00,23,10.3,63,8.8,1.5,-105.1
55.706450,37.553350,176.0,0.00,21,10.5,63,8.8,1.7,-107.8
55.706470,37.553220,176.0,0.00,20,10.6,63,8.8,1.8,-109.1
55.706600,37.551610,184.0,7.85,20,13.0,58,11.4,1.5,-74.3
55.706710,37.550640,184.0,0.00,25,10.2,63,8.8,1.4,-102.2
55.706800,37.549930,190.0,13.16,27,15.9,58,14.7,1.1,-54.1
55.706910,37.549100,190.0,0.00,27,10.1,63,8.8,1.2,-99.0
55.707050,37.548190,190.0,0.00,27,10.1,63,8.8,1.2,-99.0
55.707180,37.547460,192.0,4.17,28,10.6,58.7,9.7,1.0,-81.3
55.707360,37.546590,192.0,0.00,27,10.1,63,8.8,1.3,-99.0
55.707550,37.545890,192.0,0.00,0,12.6,63,8.8,3.7,-121.3
55.707600,37.545710,196.0,31.81,35,29.2,58,28.7,0.5,-39.0
55.707660,37.545530,196.0,0.00,38,9.3,63,8.9,0.5,-77.2
55.707840,37.544940,196.0,0.00,37,9.4,63,8.9,0.5,-79.4
55.707890,37.544800,196.0,0.00,39,9.3,63,8.9,0.4,-74.8
55.708120,37.544170,196.0,0.00,42,9.1,63,8.9,0.3,-67.4
55.708390,37.543540,179.0,-34.28,45,30.8,68,31.2,-0.4,-101.0
55.708590,37.543080,179.0,0.00,41,9.1,63,8.9,0.3,-69.9
55.708760,37.542750,179.0,0.00,39,9.3,63,8.9,0.4,-74.8
55.708840,37.542610,179.0,0.00,44,9.1,63,8.9,0.2,-62.1
55.709130,37.542090,179.0,0.00,43,9.1,63,8.9,0.2,-64.8
55.709410,37.541600,192.0,29.73,41,27.4,58,27.1,0.3,-31.3
55.709430,37.541350,192.0,0.00,39,9.3,63,8.9,0.4,-74.8
55.709420,37.541190,192.0,0.00,42,9.2,63,8.9,0.3,-67.4
55.709390,37.541070,192.0,0.00,38,9.4,63,8.9,0.5,-77.2
55.709300,37.540910,192.0,0.00,41,9.2,63,8.9,0.3,-69.9
55.709260,37.540830,192.0,0.00,39,9.4,63,8.9,0.4,-74.8
55.709200,37.540720,192.0,0.00,36,9.6,63,9.0,0.6,-81.7
55.708290,37.539070,194.0,1.38,0,12.8,62.9,9.1,3.7,-120.9
55.707600,37.537810,194.0,0.00,39,9.4,63,9.0,0.4,-74.8
55.706860,37.536480,199.0,4.27,39,10.1,58.6,9.9,0.2,-58.5
55.706800,37.536350,199.0,0.00,36,9.6,63,9.0,0.7,-81.7
55.706850,37.536260,199.0,0.00,41,9.3,63,9.0,0.3,-69.9
55.707730,37.534770,197.0,-1.48,45,9.4,64.8,9.1,0.3,-66.4
55.708090,37.534160,197.0,0.00,44,9.2,63,9.0,0.2,-62.1
55.708230,37.533900,197.0,0.00,41,9.3,63,9.0,0.3,-69.9
55.708320,37.533740,197.0,0.00,44,9.2,63,9.0,0.2,-62.1
55.707830,37.532880,196.0,-1.31,45,9.4,64.6,9.1,0.2,-65.6
55.707770,37.532770,196.0,0.00,45,9.2,63,9.0,0.2,-59.4
55.707750,37.532750,196.0,0.00,50,9.1,65,9.0,0.1,-52.7
55.707560,37.532390,196.0,0.00,47,9.2,63,9.0,0.1,-53.8
55.707190,37.531740,196.0,0.00,48,9.1,63,9.0,0.1,-50.9
55.707040,37.531470,196.0,0.00,51,9.1,65,9.0,0.1,-49.6
