shirota,dolgota,elevation,slope_percent,current_speed,current_fuel_consumption,smart_optimal_speed,smart_optimal_fuel_consumption,fuel_saving,energy_saving
55.955680,37.387560,178.0,-3.59,43,9.4,64.3,9.5,-0.2,-69.8
55.955290,37.386710,176.0,-2.92,40,9.2,63.5,9.3,-0.1,-74.3
55.954930,37.385790,176.0,0.00,36,9.0,63,8.3,0.7,-81.7
55.954590,37.384710,172.0,-5.19,32,10.5,66.2,10.1,0.3,-102.6
55.954350,37.383740,172.0,0.00,28,9.5,63,8.4,1.1,-97.3
55.954140,37.382630,165.0,-9.60,23,13.2,68,12.7,0.6,-133.6
55.953990,37.381550,165.0,0.00,26,9.6,63,8.4,1.2,-100.6
55.953910,37.380580,166.0,1.64,28,9.7,58.5,8.5,1.2,-80.6
55.953860,37.379820,166.0,0.00,24,9.8,63,8.4,1.4,-103.7
55.953850,37.378750,165.0,-1.50,20,10.3,61.8,8.7,1.6,-104.5
55.953870,37.378100,165.0,0.00,25,9.7,63,8.4,1.3,-102.2
55.953900,37.377410,165.0,0.00,22,10.0,63,8.4,1.6,-106.5
55.953990,37.376460,167.0,3.33,26,10.2,58,9.1,1.1,-75.2
55.954090,37.375700,167.0,0.00,31,9.3,63,8.4,0.9,-91.9
55.954240,37.374830,165.0,-3.53,30,9.9,64.2,9.5,0.4,-98.4
55.954400,37.374100,165.0,0.00,25,9.7,63,8.4,1.3,-102.2
55.954530,37.373570,165.0,0.00,20,10.2,63,8.4,1.8,-109.1
55.954720,37.372910,168.0,6.49,23,11.7,58,10.7,1.0,-64.2
55.955010,37.372010,168.0,0.00,20,10.2,63,8.4,1.8,-109.1
55.955790,37.369970,168.0,0.00,25,9.7,63,8.4,1.3,-102.2
55.956460,37.368470,171.0,2.51,0,12.2,58,8.7,3.5,-100.0
55.957000,37.367230,171.0,0.00,36,9.0,63,8.4,0.7,-81.7
55.957510,37.366100,172.0,1.11,41,8.9,59.3,8.4,0.5,-56.1
55.958320,37.364410,175.0,2.17,40,9.0,57.8,8.6,0.5,-53.2
55.959440,37.361930,181.0,3.03,40,9.2,56.5,8.9,0.3,-48.7
55.961720,37.356890,180.0,-0.25,35,9.1,61.5,8.4,0.7,-83.8
55.962620,37.354830,179.0,-0.61,32,9.2,63,8.4,0.8,-90.0
55.963480,37.352960,187.0,5.31,36,10.4,58,9.9,0.5,-46.2
55.963740,37.352380,187.0,0.00,32,9.2,63,8.3,1.0,-90.0
55.963830,37.352170,187.0,0.00,31,9.3,63,8.3,1.0,-91.9
55.964510,37.350610,186.0,-0.81,36,9.0,63,8.4,0.5,-81.7
55.965040,37.349260,182.0,-3.90,31,10.0,67.7,9.7,0.3,-110.7
55.965330,37.348500,182.0,0.00,34,9.1,63,8.3,0.8,-86.0
55.965580,37.347860,189.0,14.41,37,16.6,58,16.4,0.2,-28.6
55.966430,37.345510,194.0,2.87,34,9.5,56.7,8.7,0.7,-62.9
55.966900,37.344010,198.0,3.74,34,9.8,55.4,9.1,0.7,-58.5
55.967410,37.342290,196.0,-1.65,38,8.9,60.4,8.6,0.3,-85.0
55.967940,37.340370,196.0,0.00,40,8.9,63,8.2,0.6,-72.4
55.968580,37.338020,202.0,3.69,42,9.3,58,9.0,0.3,-40.2
55.969060,37.336400,201.0,-0.88,39,8.9,63,8.4,0.5,-74.8
55.969480,37.335100,199.0,-2.14,44,8.9,65.6,8.8,0.1,-72.3
55.969840,37.334030,199.0,0.00,48,8.7,63,8.2,0.4,-50.9
55.970240,37.332920,199.0,0.00,12,10.9,63,8.2,2.7,-116.9
55.970540,37.332120,199.0,0.00,20,10.1,63,8.2,1.9,-109.1
55.971180,37.330570,195.0,-3.34,23,10.4,67.0,9.4,1.0,-121.0
55.971730,37.329310,195.0,0.00,23,9.9,63,8.2,1.6,-105.1
55.972380,37.327960,196.0,0.90,23,9.8,63,8.2,1.6,-105.1
55.973130,37.326500,195.0,-0.81,20,10.2,63,8.4,1.9,-109.1
55.973610,37.325610,195.0,0.00,22,10.0,63,8.2,1.7,-106.5
55.974320,37.324360,192.0,-2.71,22,10.3,66.2,9.1,1.2,-119.1
55.975040,37.323120,190.0,-1.80,22,10.2,65.2,8.7,1.5,-115.1
55.976090,37.321420,194.0,2.54,20,10.4,60.2,8.5,1.9,-87.8
55.977070,37.319910,192.0,-1.39,20,10.3,64.7,8.5,1.8,-115.7
55.977610,37.319100,196.0,5.10,21,11.1,59.7,9.7,1.4,-73.3
55.981060,37.314100,202.0,1.21,23,9.9,59.2,8.2,1.6,-90.9
55.981720,37.313160,188.0,-14.92,24,16.4,64.2,16.5,-0.1,-145.2
55.982910,37.311470,195.0,4.14,3,12.1,59.2,9.2,2.9,-91.5
55.983720,37.310370,204.0,7.96,35,12.1,54.2,11.7,0.4,-36.2
55.984500,37.309380,204.0,0.00,2,12.0,59.2,8.2,3.7,-121.2
55.985170,37.308580,204.0,0.00,45,8.7,63,8.2,0.5,-59.4
55.986030,37.307650,209.0,4.47,49,9.5,58,9.3,0.2,-23.5
55.986900,37.306780,209.0,0.00,51,8.5,63,8.2,0.3,-49.6
55.987820,37.305940,208.0,-0.87,53,8.5,65,8.3,0.2,-43.3
55.988780,37.305160,208.0,0.00,58,8.3,65,8.2,0.1,-26.3
55.990250,37.303990,206.0,-1.12,61,8.4,66.3,8.4,0.1,-20.6
55.991400,37.302970,206.0,0.00,57,8.3,65,8.2,0.1,-29.8
55.991540,37.302840,206.0,0.00,56,8.3,65,8.2,0.1,-33.3
55.991710,37.302690,210.0,18.98,61,19.8,60,19.8,0.0,34.2
55.992690,37.301780,212.0,1.63,58,8.2,60.6,8.2,0.1,-9.4
55.993680,37.300890,212.0,0.00,61,8.2,65,8.2,0.0,-15.4
55.994660,37.300050,205.0,-5.79,60,10.4,70,10.4,-0.0,-48.4
55.996600,37.298390,210.0,2.09,62,8.2,65,8.2,-0.0,7.8
55.999440,37.295940,214.0,1.14,67,8.1,61.3,8.2,-0.1,22.3
56.000490,37.295050,217.0,2.32,66,8.3,59.5,8.3,0.0,24.9
56.002870,37.293010,216.0,-0.34,69,8.2,64.5,8.2,-0.0,16.4
56.003540,37.292430,216.0,0.00,69,8.1,65,8.1,-0.0,16.4
56.007990,37.288630,222.0,1.09,70,8.1,61.4,8.1,-0.0,34.5
56.008610,37.288100,215.0,-9.16,67,12.5,66.4,12.5,0.0,-34.7
56.009020,37.287760,215.0,0.00,68,8.1,65,8.1,-0.0,12.2
56.010860,37.286160,219.0,1.76,71,8.3,63.4,8.2,0.2,31.2
56.016580,37.281280,220.0,0.14,52,8.3,65,8.1,0.2,-46.5
56.018500,37.279610,226.0,2.53,54,8.5,60,8.3,0.2,-18.0
56.018610,37.279520,226.0,0.00,49,8.4,63,8.1,0.3,-47.9
56.019470,37.278780,225.0,-0.94,51,8.5,65,8.2,0.2,-49.6
56.020880,37.277550,223.0,-1.15,47,8.6,64.4,8.3,0.3,-59.2
